web-scraper-order,web-scraper-start-url,address,mls,description,beds,baths,buildingsqft,lot _sqft,stories,garage,yearbuilt,price,pool,zipcode
1608476410-339,https://www.har.com/zipcode_77005/realestate/for_sale,"6702 Auden Street, Houston, TX 77005",71751371,"Single-Family Property, French,Traditional Style  in Southside Place Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"4,372","7,750",2,2 Garage(s) / Attached/Detached,2002,"1,975,000",FALSE,77005
1608476410-467,https://www.har.com/zipcode_77005/realestate/for_sale,"3125 Bissonnet Street, Houston, TX 77005",33615778,"Townhouse/Condo - Townhouse Property, Traditional Style  in Monticello Subdivision  in West University/Southside Area (Market Area)",2 Bed(s),2 Full & 1 Half Bath(s),"1,548","2,160",2,2 Garage(s) / Attached,1970,"279,000",FALSE,77005
1608476410-321,https://www.har.com/zipcode_77005/realestate/for_sale,"6317 Rutgers Avenue, West University Place, TX 77005",94667533,"Single-Family Property, Traditional Style  in West University Place Sec 01 Subdivision  in West University/Southside Area (Market Area)",5-6  Bed(s),5 Full & 3 Half Bath(s),"5,882","9,750",3,2 Garage(s) / Attached,1987,"2,495,000",TRUE,77005
1608476410-378,https://www.har.com/zipcode_77005/realestate/for_sale,"2374 Dunstan, Houston, TX 77005",81654497,"Single-Family Property, Other Style Style  in Southampton Place Subdivision  in Rice/Museum District (Market Area)",3 Bed(s),3 Full & 1 Half Bath(s),"2,511","7,200",3,2 Garage(s) / Attached,1986,"1,400,000",TRUE,77005
1608476410-373,https://www.har.com/zipcode_77005/realestate/for_sale,"1733 Sunset Boulevard, Houston, TX 77005",97570986,"Townhouse/Condo - Townhouse Property, Mediterranean Style  in Cheyne Walk Subdivision  in Rice/Museum District (Market Area)",3 Bed(s),3 Full & 1 Half Bath(s),"3,716","5,274",3,"2 Garage(s) / Attached,Oversized",2006,"1,475,000",FALSE,77005
1608476410-316,https://www.har.com/zipcode_77005/realestate/for_sale,"3779 Darcus Street, Southside Place, TX 77005",32149869,"Single-Family Property, Contemporary/Modern,Traditional Style  in Southside Place Subdivision  in West University/Southside Area (Market Area)",5-6  Bed(s),5 Full & 1 Half Bath(s),"5,291","7,500",3,2 Garage(s) / Attached,2020,"2,750,000",FALSE,77005
1608476410-305,https://www.har.com/zipcode_77005/realestate/for_sale,"6628 Vanderbilt Street, West University Place, TX 77005",65526965,"Single-Family Property, Traditional Style  in West University Place Subdivision  in West University/Southside Area (Market Area)",5 Bed(s),5 Full & 1 Half Bath(s),"7,047","10,000",2,2 Garage(s) / Attached,2019,"3,499,000",FALSE,77005
1608476410-431,https://www.har.com/zipcode_77005/realestate/for_sale,"4230 Dartmouth Avenue, West University Place, TX 77005",14857015,"Single-Family Property, Colonial,Traditional Style  in College Court Place Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),4 Full & 1 Half Bath(s),"1,856",NA,2,"5,000 Lot Sqft.",Pool,"799,999",FALSE,77005
1608476410-445,https://www.har.com/zipcode_77005/realestate/for_sale,"4211 Purdue Street A, Houston, TX 77005",94285630,"Townhouse/Condo - Townhouse Property, Contemporary/Modern Style  in Sycamore Lofts Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,328","2,500",3,2 Garage(s) / Attached,2003,"669,000",FALSE,77005
1608476410-415,https://www.har.com/zipcode_77005/realestate/for_sale,"3936 Oberlin Street, West University Place, TX 77005",38842074,"Single-Family Property, Traditional Style  in Collegeview Sec 01 Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,131","5,000",2,2 Garage(s) / Attached,2001,"999,990",FALSE,77005
1608476410-450,https://www.har.com/zipcode_77005/realestate/for_sale,"4210 Childress Street, Houston, TX 77005",7644883,"Single-Family Property, Contemporary/Modern,Traditional Style  in College Court Place Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,069","2,900",3,2 Garage(s) / Attached,1999,"639,000",FALSE,77005
1608476410-358,https://www.har.com/zipcode_77005/realestate/for_sale,"2225 Bolsover Street, Houston, TX 77005",77242225,"Single-Family Property, Mediterranean Style  in Southampton Place Subdivision  in Rice/Museum District (Market Area)",4 Bed(s),4 Full & 1 Half Bath(s),"4,546","8,400",2,2 Garage(s) / Attached,1994,"1,675,000",FALSE,77005
1608476410-340,https://www.har.com/zipcode_77005/realestate/for_sale,"3707 Nottingham Street, West University Place, TX 77005",62696485,"Single-Family Property, Traditional Style  in Sunset Terrace Sec 02 Subdivision  in West University/Southside Area (Market Area)",5-6  Bed(s),6 Full  Bath(s),"4,944","7,500",3,2 Garage(s) / Detached,1994,"1,950,000",FALSE,77005
1608476410-383,https://www.har.com/zipcode_77005/realestate/for_sale,"3927 Case Street, West University Place, TX 77005",96372750,"Single-Family Property, French,Traditional Style  in West University Place Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),4 Full & 2 Half Bath(s),"3,828","5,700",2,2 Garage(s) / Attached,2009,"1,389,000",FALSE,77005
1608476410-409,https://www.har.com/zipcode_77005/realestate/for_sale,"2328 Bissonnet Street, Houston, TX 77005",59793358,"Single-Family Property, Contemporary/Modern Style  in Greenbriar Partial Replat #1 Subdivision  in Rice/Museum District (Market Area)",3 Bed(s),3 Full & 1 Half Bath(s),"3,698","2,270",4,2 Garage(s) / Attached,2018,"1,124,000",FALSE,77005
1608476410-432,https://www.har.com/zipcode_77005/realestate/for_sale,"4126 Purdue Street, Houston, TX 77005",65514481,"Townhouse/Condo - Townhouse Property, Mediterranean Style  in Granit Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,201","2,542",3,2 Garage(s) / Attached,2000,"785,000",FALSE,77005
1608476410-360,https://www.har.com/zipcode_77005/realestate/for_sale,"3908 Southwestern Street, West University Place, TX 77005",78191162,"Single-Family Property, Traditional Style  in Collegeview Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),4 Full & 1 Half Bath(s),"3,590","5,000",2,2 Garage(s) / Attached,2020,"1,650,000",FALSE,77005
1608476410-354,https://www.har.com/zipcode_77005/realestate/for_sale,"1717 Sunset Boulevard, Houston, TX 77005",17958818,"Townhouse/Condo - Townhouse Property, English Style  in Cheyne Walk Amd Pla Subdivision  in Rice/Museum District (Market Area)",3 Bed(s),3 Full & 1 Half Bath(s),"4,626","2,314",4,2 Garage(s) / Attached,2006,"1,699,000",FALSE,77005
1608476410-391,https://www.har.com/zipcode_77005/realestate/for_sale,"3824 Northwestern Street, Houston, TX 77005",87804306,"Single-Family Property, Traditional Style  in Collegeview Sec 03 Subdivision  in West University/Southside Area (Market Area)",4-5  Bed(s),2 Full & 1 Half Bath(s),"3,613","6,000",2,"2 Garage(s) / Attached,Oversized",1989,"1,250,000",TRUE,77005
1608476410-405,https://www.har.com/zipcode_77005/realestate/for_sale,"4132 Milton Street, Houston, TX 77005",98336546,"Single-Family Property, Traditional Style  in Colonial Terrace Subdivision  in West University/Southside Area (Market Area)",3 Bed(s),3 Full & 1 Half Bath(s),"2,990","5,750",2,2 Garage(s) / Detached,1990,"1,159,000",FALSE,77005
1608476410-455,https://www.har.com/zipcode_77005/realestate/for_sale,"6740 Vanderbilt Street, West University Place, TX 77005",11600777,"Townhouse/Condo - Townhouse Property, Traditional Style  in Vanderbilt Place T/h Subdivision  in West University/Southside Area (Market Area)",3 Bed(s),2 Full & 1 Half Bath(s),"2,476","1,944",2,2 Garage(s) / Attached,1982,"600,000",FALSE,77005
1608476410-317,https://www.har.com/zipcode_77005/realestate/for_sale,"3709 Sunset Boulevard, Houston, TX 77005",93597678,"Single-Family Property, Contemporary/Modern,French Style  in Sunset Terrace Sec 01 Subdivision  in West University/Southside Area (Market Area)",4-5  Bed(s),3 Full & 1 Half Bath(s),"4,734","7,440",2,2 Garage(s) / Attached/Detached,2016,"2,650,000",FALSE,77005
